violet,blue,green,yellow,orange,red,label
56,47,166,123,163,56,c1
55,45,166,123,164,53,c1
54,42,159,117,158,50,c1
52,35,147,103,152,48,c1
51,31,134,92,148,48,c1
93,102,353,275,273,81,c1
116,87,310,224,292,108,c1
126,102,360,260,317,114,c1
114,84,329,259,392,95,c1
140,605,245,290,198,528,c1
2947,939,8067,6198,8050,1370,c1
2897,644,8336,6021,8366,1150,c1
2991,1687,7448,6361,7210,1692,c1
1062,771,1470,2005,1386,741,c1
1127,556,1467,1652,2391,780,c1
19,15,54,41,51,17,a1
18,15,53,40,50,17,a1
18,15,53,40,50,16,a1
18,15,52,40,49,16,a1
17,14,52,39,49,16,a1
32,28,1055,299,87,27,a1
31,32,180,115,65,29,a1
34,98,616,391,67,31,a1
37,261,1235,795,75,35,a1
66,382,1565,1046,426,97,a1
66,382,1565,1046,426,97,a1
372,471,1656,1191,1221,289,a1
601,490,1625,1176,1453,352,a1
627,484,1624,1176,1427,345,a1
522,487,1658,1148,843,197,a1
181,110,319,219,405,148,t1
157,84,237,174,271,92,t1
104,83,254,183,305,92,t1
164,102,412,305,401,147,t1
171,119,434,307,438,148,t1
160,293,1086,873,360,163,t1
208,700,2928,2252,678,330,t1
455,1180,3674,2835,1108,485,t1
167,386,2062,1779,442,272,t1
596,1358,4403,3430,1765,718,t1
1959,1593,5041,3705,4888,1464,t1
1960,1598,5017,3692,4908,1466,t1
1960,1585,4882,3619,4881,1497,t1
1977,1574,4817,3580,4892,1521,t1
1984,1538,4675,3548,4868,1523,t1
348,266,580,407,468,203,o1
353,277,557,419,492,199,o1
356,293,557,431,511,203,o1
374,322,587,416,480,201,o1
405,361,592,413,456,207,o1
1001,3181,716,1394,480,1159,o1
1246,3722,839,1677,506,1315,o1
1427,4070,953,1905,529,1435,o1
1545,4269,1101,2162,567,1612,o1
1804,4677,1319,2471,626,1825,o1
5068,7888,4708,5884,2288,4759,o1
6245,8970,5841,7173,3178,5791,o1
7537,10268,7061,8676,4119,6663,o1
8433,11153,7915,9527,4728,6938,o1
8533,11348,8230,9815,4912,6836,o1
