violet,blue,green,yellow,orange,red,label
5828.25,2186.43,2276.22,3854.61,3933.5,11220.82,strahler
5969.92,2252.39,2360.09,4009.25,4044.95,11260.84,strahler
6494.53,2356.05,2454.58,4187.32,4220.35,15254.85,strahler
10954.38,2540.54,2589.43,5588.69,7258.92,18849.47,strahler
173.09,268.49,1971.72,1402.83,477.33,229.5,atelier
477.78,1009.94,4250.65,3233.94,1497.8,623.75,atelier
1060.4,1697.65,5802.29,4733.85,2926.22,1144.88,atelier
1840.36,2104.28,6262.46,5244.06,4639.3,1748.79,atelier
2533.92,2355.05,6413.81,5693.36,6114.67,2290.31,atelier
3179.73,2737.45,6017.41,6049.52,7048.2,2776.18,atelier
3781.76,3136.7,6300.96,6660.47,8223.88,3175.26,atelier
4345.58,3542.03,6739.67,7437.32,9384.69,3490.13,atelier
4897.22,3935.13,7601,8495.89,10780.92,3692.82,atelier
5439.2,4239.32,9145.4,9719.7,12515.83,3749.24,atelier
5826.88,4333.08,11139.56,10658.93,14219.95,3267.62,atelier
5833.59,3593.04,13194,11094.04,15399.85,2255.31,atelier
5342.3,3258.02,15189.3,11715.73,16307.97,2031.65,atelier
5463.77,3415.22,16729.08,12657.76,17367.57,2213.19,atelier
5872.49,3882.7,17958.67,13491.18,18332.12,2638.67,atelier
6178.04,4364.93,19392.2,14375.46,18651.7,3080.6,atelier
6518.84,4716.93,20622.28,15132.82,18732.83,3592.34,atelier
6803.35,5005.84,21731.45,15742.24,18899.75,4092.71,atelier
7142.72,5129.86,22619.5,16282.01,18934.28,4536.94,atelier
7420.15,5278.57,22907.45,16889.41,16965.14,4960.14,atelier
7563.33,5551.71,22925.91,17405.77,15693.07,5320.63,atelier
7805.9,5636.94,23324.32,17792.29,15889.16,5613.17,atelier
8070.01,5544.47,24006.98,17920.06,16631.55,5870.55,atelier
8324.31,5233.24,24135.08,16394.53,17776.79,6078.59,atelier
8552.08,4938.12,23582.54,15367.77,18829.21,6268.03,atelier
8748.77,4952.91,23233.27,15205.38,19728.39,6442.33,atelier
8912.99,4971.82,20455.64,13872.19,20535.05,6594.2,atelier
9074.69,5071.23,19990.32,14073.07,21349.74,6661.98,atelier
8746.35,5369.41,20933.29,14749.56,21750.27,5274.99,atelier
8469.67,5573.47,21745.26,15352.51,22318.64,4520.49,atelier
7578.34,4760.73,22346.43,14525.75,22602.37,3200.25,atelier
6080.67,3037.87,22613.29,12309.88,21190.19,2109.12,atelier
4469.33,2044.93,22982.86,11484.44,17278.59,1437.56,atelier
4056.67,2110.44,23917.37,12248.29,16454.8,1542.81,atelier
4129.5,2715.6,24316.33,13211.96,12607.4,1835.42,atelier
4180.15,3425.34,24721.7,14210.57,11128.7,2249.58,atelier
4310.73,4097.8,24494.85,14998.61,9008.35,2624.52,atelier
4351.26,4683.62,22357.43,15548.15,7123.67,2999.67,atelier
4522.23,5149.16,22414.78,16155.04,7303.21,3474.4,atelier
4739.81,5534.94,22609.71,16694.63,7652.99,3912.46,atelier
5062.53,5768.45,23312.54,17107.87,8697.19,4330.52,atelier
5647.58,5391.22,21399.77,14689.93,10839.67,4733.47,atelier
6053.72,4257.11,13086.88,10075.97,11594.2,5071.52,atelier
6177.35,3819.56,7417.44,7127.48,10231.6,5416.37,atelier
6243.91,3957.4,4697.22,7154.33,8656.8,5826.43,atelier
6387.22,4403.96,4645.11,7737.5,8079.4,6234.09,atelier
6586.8,4975.56,5170.4,8769.85,7809.7,6586.38,atelier
6774.22,5404.41,6410.26,10035.66,8151.43,6817.14,atelier
7033.3,5589.47,8331.83,11113.7,8966.09,6932.23,atelier
7354.87,4872.73,10284.05,11622.73,10393.68,6807.11,atelier
7629.48,4083.87,11750.84,11716.26,11979.81,6630.06,atelier
7868.93,3559.43,12830.36,11793.93,13535.63,6709.45,atelier
