violet,blue,green,yellow,orange,red,label
400.26,238.08,831.54,603.91,866.3,282.97,gang
449.63,274.67,928.39,675.62,939.87,312.67,gang
492.47,302.3,1023.95,752.36,1026.88,335.7,gang
536.12,326.87,1107.25,815.52,1108.7,357.63,gang
574.81,348.88,1184.53,864.37,1181.23,381.37,gang
606.93,366.1,1247.18,912.43,1249.7,403.23,gang
631.14,384.59,1291.36,943.39,1298.33,416.91,gang
653.42,399.53,1331.52,975.05,1329.6,429.82,gang
663.08,411.88,1347.47,1004.45,1374.64,439.34,gang
674.17,425.39,1365.42,1032.3,1409.38,452.7,gang
684.16,434.15,1382.08,1064.57,1445.34,465.73,gang
694.54,443.13,1411.37,1079.01,1469.2,470.76,gang
709.89,450.42,1442.24,1086.31,1479.08,472.78,gang
720.5,454.38,1357.62,1093.58,1504.28,474.51,gang
723.75,461.64,1291.81,1097.32,1511.45,475.45,gang
727.77,466.98,1206.9,1108.49,1469.72,476.81,gang
727.8,470.08,1209.51,1082.75,1360.86,482.83,gang
736.12,473.37,1141.26,1083.97,1365.68,471.91,gang
736.7,466.69,1146.73,1087.97,1382.11,468.46,gang
729.35,427.84,1147.66,1050.49,1385.7,468.81,gang
731.22,317.42,1125.33,921.24,1392.83,452.41,gang
731.9,230.71,1130.4,900.12,1404.64,440.2,gang
732.61,236.44,1133.36,914.51,1425.28,441.58,gang
734.85,257.4,1140.92,923.96,1420.64,445.22,gang
735.26,278.56,1143.93,937.76,1447.98,451.1,gang
2180.07,1506.13,3217.39,5736.26,6278.91,2964.53,treppe
2184.07,1440.57,3298.25,5750.83,6529.42,2965.57,treppe
2188.36,1351.78,3383.93,5758.35,6806.97,2950.29,treppe
2192.82,1289.39,3473.73,5763.92,7094.88,2923.14,treppe
2197.04,1216.7,3580.06,5749.46,7436.19,2854.07,treppe
2202.04,1143.35,3648.15,5605.23,7731.47,2823.04,treppe
2207.03,1077.67,3680.74,5383.11,7985.12,2808.52,treppe
2211.73,1013.84,3696.76,5158.56,8222.61,2780.76,treppe
1444.74,1555.13,2301.87,4932.47,2917.58,2753.53,treppe
1502.27,1598.32,2449.78,5141.02,3184.72,2770.88,treppe
1561.64,1631.18,2636.6,5345.62,3516.05,2783.79,treppe
1618.88,1654.77,2817.54,5521.15,3869.84,2794.71,treppe
1673.39,1667.09,3015.99,5682.54,4265.46,2804.04,treppe
1724.85,1664.04,3197.69,5833.68,4622.51,2813.94,treppe
