violet,blue,green,yellow,orange,red,label
10380.22,6443.31,6996.13,10241.33,10666.01,18564.75,strahler
14462.3,6856.07,7312.61,11405.7,14545.01,21828.38,strahler
18136.17,7696.57,7642.95,13701.83,18210.61,24765.64,strahler
21442.65,10117.51,7749.46,15024.54,18998.75,27409.17,strahler
24418.48,13637.46,7776.31,16724.19,19206.67,29788.35,strahler
27096.73,17393.82,7361.16,17089.07,15181.34,31929.62,strahler
29507.16,20774.53,7015.58,17682.76,13295.67,33856.75,strahler
31676.54,23817.18,8447.62,21034.59,17086.2,35591.18,strahler
33628.99,26555.56,12722.96,24051.23,20497.68,37152.16,strahler
35386.19,29020.1,16570.76,26766.21,23568.01,38557.04,strahler
36967.67,31238.19,19177.09,29209.68,26331.31,39821.44,strahler
38391,33234.47,13168.04,30740.02,22054.66,40959.39,strahler
39631.4,34252.42,10391.02,22628.01,16897.33,41983.55,strahler
27733.7,22517.71,9174.01,17809,15047.16,42905.3,strahler
21860.85,16276.86,8865.51,16497,15065.75,43734.87,strahler
21323.43,13193.93,8679.25,15944.5,15013.87,42182.94,strahler
20451.21,10846.96,8424.13,14762.75,14011.94,36242.97,strahler
20788.29,9868.48,8502.41,14897.37,14147.14,34904.98,strahler
21722.46,9506.74,8642.77,15107.74,14477.83,33736.99,strahler
23190.52,9357.87,8863.09,15363.66,15192.95,32399,strahler
25385.76,9220.44,9104.99,15649.1,16529.95,32626,strahler
27967.29,9036.72,9291.39,15922.49,19694.46,34483.5,strahler
30290.66,8842.36,9407.35,16149.24,22845.11,36155.25,strahler
400.26,238.08,831.54,603.91,866.3,282.97,gang
449.63,274.67,928.39,675.62,939.87,312.67,gang
492.47,302.3,1023.95,752.36,1026.88,335.7,gang
536.12,326.87,1107.25,815.52,1108.7,357.63,gang
574.81,348.88,1184.53,864.37,1181.23,381.37,gang
606.93,366.1,1247.18,912.43,1249.7,403.23,gang
631.14,384.59,1291.36,943.39,1298.33,416.91,gang
653.42,399.53,1331.52,975.05,1329.6,429.82,gang
663.08,411.88,1347.47,1004.45,1374.64,439.34,gang
674.17,425.39,1365.42,1032.3,1409.38,452.7,gang
684.16,434.15,1382.08,1064.57,1445.34,465.73,gang
694.54,443.13,1411.37,1079.01,1469.2,470.76,gang
709.89,450.42,1442.24,1086.31,1479.08,472.78,gang
720.5,454.38,1357.62,1093.58,1504.28,474.51,gang
723.75,461.64,1291.81,1097.32,1511.45,475.45,gang
727.77,466.98,1206.9,1108.49,1469.72,476.81,gang
727.8,470.08,1209.51,1082.75,1360.86,482.83,gang
736.12,473.37,1141.26,1083.97,1365.68,471.91,gang
736.7,466.69,1146.73,1087.97,1382.11,468.46,gang
729.35,427.84,1147.66,1050.49,1385.7,468.81,gang
731.22,317.42,1125.33,921.24,1392.83,452.41,gang
731.9,230.71,1130.4,900.12,1404.64,440.2,gang
732.61,236.44,1133.36,914.51,1425.28,441.58,gang
734.85,257.4,1140.92,923.96,1420.64,445.22,gang
735.26,278.56,1143.93,937.76,1447.98,451.1,gang
