violet;blue;green;yellow;orange;red;label;;;;;;;;;;;;;
1840.54;701.34;542.67;1830.41;2730.3;3227.57;treppe;;;;;;;;;;;;;
1846.79;714.51;552.51;1895.17;2810.27;3231.21;treppe;;;;;;;;;;;;;
1866.91;738.16;581.56;2008.85;2971.74;3220.11;treppe;;;;;;;;;;;;;
1894.72;766.04;646.8;2166.86;3229.97;3179.55;treppe;;;;;;;;;;;;;
1922.15;795.24;730.92;2332.48;3520.47;3147.78;treppe;;;;;;;;;;;;;
1947.43;814.11;782.23;2430.93;3778.42;3141.89;treppe;;;;;;;;;;;;;
1972.99;815.2;890.5;2538.24;4200.38;3074.44;treppe;;;;;;;;;;;;;
1999.29;739.6;1051.35;2642.11;4749.54;2903.72;treppe;;;;;;;;;;;;;
2022.96;694.3;1212.82;2743;5267.99;2794.86;treppe;;;;;;;;;;;;;
2042.96;699.27;1460.74;2916.3;5827.99;2733.93;treppe;;;;;;;;;;;;;
2061.47;713.14;1760.26;3120.47;6412.59;2648.47;treppe;;;;;;;;;;;;;
2077.72;717.83;2002.84;3299.02;6891.83;2644.23;treppe;;;;;;;;;;;;;
2090.95;739.45;2076.05;3416.82;7045.95;2676.51;treppe;;;;;;;;;;;;;
2101.05;766.3;2179.15;3548.24;7231.35;2700.06;treppe;;;;;;;;;;;;;
2111.55;787.47;2288.93;3730.62;7318.12;2726.75;treppe;;;;;;;;;;;;;
2119.49;826.12;2369.24;3846.95;7439.31;2749.48;treppe;;;;;;;;;;;;;
2125.74;866.61;2516.12;4044.56;7538.08;2768.23;treppe;;;;;;;;;;;;;
2131.87;898.35;2602.1;4122.4;7712.97;2774.91;treppe;;;;;;;;;;;;;
2137.38;905.72;2769.49;4213.26;8039.97;2660.95;treppe;;;;;;;;;;;;;
2140.94;913.14;3038.54;4407.84;8373.07;2591.48;treppe;;;;;;;;;;;;;
2142.55;935.43;3216.99;4553.15;8605.47;2599.03;treppe;;;;;;;;;;;;;
2146.19;954.69;3282.89;4622.34;8714.92;2619.53;treppe;;;;;;;;;;;;;
2151.38;964.92;3314.5;4663;8788.53;2641.17;treppe;;;;;;;;;;;;;
2157.04;967.53;3082.25;4595.5;8636.26;2669.86;treppe;;;;;;;;;;;;;
2161.43;972.97;2680.63;4361.25;8182.63;2703.17;treppe;;;;;;;;;;;;;
2166.09;976.38;2546.31;4322.63;7994.32;2734.65;treppe;;;;;;;;;;;;;
2171.38;977.84;2450.66;4326.76;7751.66;2766.69;treppe;;;;;;;;;;;;;
2176.54;1000.85;2501.59;4414.59;7570.83;2795.02;treppe;;;;;;;;;;;;;
2180.09;1039.37;2536.43;4525.73;6996.41;2819.22;treppe;;;;;;;;;;;;;
2181.88;1085.43;2594.89;4646.55;6810.21;2839.69;treppe;;;;;;;;;;;;;
2183.99;1130.29;2700.9;4792;6843.79;2856.53;treppe;;;;;;;;;;;;;
2185.99;1175.36;2757.31;4926.6;6488.89;2872.57;treppe;;;;;;;;;;;;;
2169.5;1250.32;2823.98;5081.54;6131.45;2887.12;treppe;;;;;;;;;;;;;
