62.81,61
60.9,59
57.45,54
54.23,51
49.11,44
45.56,42
29.78,14
44.2,174
46.98,72
73.38,311
88.24,222
98.22,188
101,126
113.5,226
127.75,256
76.37,25
51.19,26
38.59,26
32.8,27
29.9,27
27.95,26
26.97,26
25.49,24
24.24,23
24.12,24
24.31,26
25.68,38
55.41,323
97.57,477
131.81,440
136.73,181
81.87,27
53.43,25
38.22,23
30.11,22
25.55,21
21.78,18
19.89,18
19.44,19
19.7,22
20.53,28
24.48,60
61.23,392
102.71,476
106.44,140
65.72,25
44.86,24
33.93,23
27.46,21
22.23,17
19.12,16
17.06,15
16.03,15
15.01,14
14.51,14
14.25,14
14.33,15
14.5,16
14.85,18
15.76,24
17.69,35
52.52,366
96.86,496
105.98,188
65.99,26
44.99,24
33.5,22
25.75,18
20.87,16
18.44,16
17.72,17
17.36,17
17.42,18
17.68,20
18.71,28
20.44,36
22.3,39
24.27,42
26.34,45
28.51,48
31.36,57
44.82,166
62.44,221
101.99,458
161.5,697
218.25,729
258.42,620
285.78,532
313.3,561
331.17,492
342.75,447
346.28,378
354.85,432
362.27,429
366.14,401
336.07,306
333.53,331
334.88,347
322.44,310
290.72,259
274.36,258
262.68,251
228.34,194
191.67,155
173.34,155
140.17,107
99.58,59
74.29,49
58.65,43
48.32,38
38.16,28
31.08,24
25.54,20
21.77,18
19.89,18
18.44,17
17.72,17
17.75,18
18.07,21
18.77,25
20.39,35
51.05,327
143.05,971
156.24,275
96.62,37
62.81,29
42.91,23
29.45,16
23.73,18
23.85,25
49.77,283
87.29,425
77.15,67
48.57,20
32.79,17
23.89,15
17.45,11
13.72,10
11.86,10
10.93,10
11.14,13
11.32,13
11.59,14
11.93,15
12.54,18
13.39,21
14.55,25
15.99,29
18.19,38
29.47,131
58.53,320
96.77,441
137,499
180.2,569
212.68,505
239.71,483
260.14,444
257.07,254
196.53,136
138.77,81
149.69,248
184.32,496
219.19,533
244.67,474
268.4,482
277.06,355
210.53,144
130.77,51
84.38,38
55.69,27
36.85,18
25.92,15
19.46,13
15.73,12
13.37,11
11.18,9
9.59,8
8.8,8
8.4,8
8.2,8
8.1,8
8.05,8
8.14,9
8.23,9
8.31,9
8.38,9
8.54,10
8.78,11
9.11,12
9.4,12
9.66,12
10.39,17
11.65,23
13.29,28
15.86,39
22.97,87
52.57,319
96.82,495
149.74,626
183.66,489
221.9,566
249.21,495
261.89,376
198.44,135
194.22,190
218.2,434
252.88,565
277.69,501
298.42,485
320.88,523
304.44,288
190.22,76
113.61,37
69.8,26
43.4,17
26.7,10
17.35,8
12.68,8
9.84,7
7.92,6
6.96,6
6.48,6
6.24,6
6.12,6
5.56,5
5.6,6
5.94,9
6.65,13
8.88,29
57.4,494
79.36,277
49.18,19
32.09,15
21.54,11
14.77,8
9.39,4
7.19,5
7.1,7
7.49,11
8.94,22
45.84,378
85.16,439
52.08,19
33.54,15
22.27,11
15.13,8
10.07,5
8.03,6
8.02,8
8.42,12
9.77,22
28.2,194
78.28,529
81.95,115
49.97,18
31.99,14
21.99,12
15,8
11,7
9,7
8.5,8
7.75,7
7.37,7
