violet,blue,green,yellow,orange,red,label
30412.26,27332.44,20422.07,28841.05,23916.18,38991.96,strahler
32491.14,22400.72,23499.96,31077.05,26644.66,40212.87,strahler
34362.12,23263.85,26270.07,33089.44,29100.3,41311.68,strahler
36046.01,25740.46,28690.56,34900.6,31310.37,42300.61,strahler
37561.51,28286.52,30941.6,36530.64,33299.43,43190.65,strahler
38925.46,30577.96,32967.54,37997.67,35089.58,43991.69,strahler
40153.01,32640.27,34360.89,39318,36700.73,44712.62,strahler
41257.81,34496.34,36044.9,40506.3,38150.75,45361.46,strahler
42252.13,36166.8,37560.51,41575.77,39455.78,45945.41,strahler
43147.02,37670.22,25358.25,42538.3,26177.39,46470.97,strahler
43952.42,39023.3,25566.73,43404.57,26379.15,46943.98,strahler
44677.28,40241.07,16972.86,44184.21,18217.08,47369.68,strahler
45329.65,41337.06,12088.43,44885.89,15478.54,47752.81,strahler
45916.78,42323.46,10334.22,45517.4,15497.98,48097.63,strahler
46445.21,43211.21,10895.69,46085.76,15607.58,48407.97,strahler
46920.78,44010.19,9631.85,46597.28,11704.29,48687.27,strahler
47348.81,44729.27,8173.92,47057.66,11091.15,48938.65,strahler
47734.03,45376.44,9929.93,47471.99,15102.13,49164.88,strahler
48080.73,45958.9,12670.54,47844.89,18712.02,49368.5,strahler
48392.75,46483.11,16523.58,48180.5,21960.91,49551.75,strahler
48673.58,46954.9,19991.33,48482.55,24884.92,49716.67,strahler
48926.32,45619.45,23112.29,48754.4,27516.53,49865.1,strahler
49153.79,25119.73,25921.16,48999.06,29884.98,47155.05,strahler
49358.51,17885.86,28449.15,49219.25,32016.58,41401.03,strahler
49542.76,21186.28,30724.33,49417.43,33935.02,42381.02,strahler
49708.58,24187.75,32772,49595.78,35661.62,43263.02,strahler
49857.83,26889.07,34614.89,49756.31,37215.55,44056.82,strahler
49992.14,29320.26,32948.44,49900.78,23359.28,44771.24,strahler
50113.03,31508.34,21352.72,50030.8,16198.14,45414.21,strahler
488.52,223.51,1207.35,698.16,1196.02,295.8,gang
509.87,240.85,1293.71,764.15,1259.21,322.12,gang
531.48,259.17,1340.84,837.03,1332.29,337.71,gang
554.14,279.45,1378.06,900.33,1398.26,351.53,gang
574.62,299.01,1414.25,957.8,1454.14,363.88,gang
591.06,312.11,1462.03,1005.52,1492.52,375.59,gang
605.05,321.9,1522.62,1036.37,1517.97,390.03,gang
616.75,329.61,1581.46,1055.63,1538.87,408.63,gang
627.27,336.05,1631.91,1072.37,1557.99,426.37,gang
636.85,343.14,1679.72,1094.33,1575.59,437.93,gang
647.96,354.63,1711.65,1124,1594.83,444.34,gang
659.57,368.16,1735.29,1155.1,1614.75,449.6,gang
670.21,380.95,1765.06,1178.89,1630.97,456.04,gang
678.49,392.25,1804.45,1191,1642.77,468.94,gang
685.24,401.13,1827.51,1199.5,1652.7,482.15,gang
696.12,413.61,1830.06,1201.25,1658.43,487.43,gang
712.3,424.45,1793.53,1183.12,1658.88,487.59,gang
727.17,412.73,1700.76,1151.56,1629.94,460.29,gang
734.06,340.86,1489.38,1015.28,1608.97,405.65,gang
687.53,260.93,1216.69,777.64,1533.49,340.82,gang
229.36,310.08,756.71,629.91,399.71,212.49,gang
252.33,335.77,833.44,676.72,457.04,231.74,gang
280.29,353.09,898.8,728.35,509.44,243.57,gang
311.76,365.49,960.22,791.11,555.39,253.41,gang
339.69,377.34,1020.39,838.2,608.55,261.97,gang
360.22,387.1,1101.05,868.68,682.6,270.97,gang
377.2,396.49,1186.85,896.81,759.04,283.27,gang
395.48,411.14,1252.96,924.33,830.13,303.65,gang
416.73,428.03,1294.27,948.5,891.22,327.38,gang
441.16,440.13,1329.84,973.25,953.1,346.64,gang
478.64,447.31,1361.56,1012.02,1013.69,360.78,gang
516.48,454.68,1389.9,1048.42,1065.92,373.3,gang
550.53,461.61,1412.31,1079.68,1110.73,384.77,gang
577.88,467.35,1437.18,1096.51,1150.46,393.99,gang
597.49,471.62,1471.76,1107.76,1196.11,401.29,gang
613.24,474.96,1521.89,1120.08,1258.3,408.37,gang
629.32,482.46,1557.6,1132.98,1313.47,420.83,gang
643.98,492.91,1576.64,1142.78,1353.92,437.15,gang
655.79,499.72,1588.57,1149.7,1386.53,450.53,gang
667.41,502.45,1601.32,1161.63,1416.88,458.98,gang
682.57,504.41,1612.68,1180.87,1442.69,463.68,gang
701.11,507.06,1619.32,1202.18,1459.82,467.31,gang
717.9,509.56,1622.08,1214.66,1468.64,469.78,gang
729.11,511.1,1628.08,1219.1,1474.37,470.8,gang
734.4,511.39,1647.97,1215.05,1491.54,465.4,gang
736.66,506.2,1678.47,1218.44,1526.18,466.06,gang
740.49,511.08,1695.92,1221.2,1554.86,472.16,gang
744.24,516.37,1712.63,1223.88,1581.58,478.54,gang
747.52,521.93,1715.57,1222.94,1595.82,488.59,gang
748.77,522.04,1718.51,1215.47,1608.04,494.93,gang
750.49,515.52,1723.16,1217.42,1620.23,498.63,gang
755.24,510.26,1726.94,1224.18,1630.61,499.67,gang
760.52,506.13,1698.97,1230.36,1632.05,501,gang
768.87,497.06,1681.49,1235.23,1632.44,501.5,gang
771.98,497.36,1688.74,1237.1,1641.2,501.55,gang
777.18,482.68,1693.66,1239.79,1648.38,487.28,gang
777.86,481.84,1710.9,1197.9,1667.84,488.65,gang
752.43,483.26,1717.71,1169.95,1679.26,481.32,gang
748.22,479.13,1691.35,1161.97,1679.13,476.16,gang
749.19,474.56,1651.18,1162.28,1653.06,475.08,gang
751.47,474.81,1649.59,1164.75,1648.53,475.04,gang
754.23,462.4,1648.29,1124.87,1656.08,462.02,gang
746.11,450.2,1602.15,1127.19,1626.04,464.52,gang
748.6,450.58,1613.13,1131.37,1630.74,468.57,gang
755.14,452.82,1627.52,1140.03,1603.37,459.28,gang
759.93,462.04,1650.47,1141.53,1622.53,466.95,gang
716.46,463.44,1636.73,1163.18,1643.98,472.66,gang
731.62,469.59,1663.36,1163.09,1570.49,458.83,gang
738.86,475.93,1698.52,1175.88,1586.44,471.35,gang
733.93,476.24,1659.76,1200.29,1613.3,454.17,gang
749.34,487.72,1677.69,1198.15,1591.15,456.66,gang
765.7,497.94,1717.82,1195.57,1571.57,467.39,gang
